Player,Span,Mat,Dis,Ct,St,Max
KC Sangakkara (SL),2000-2015,404,482,383,99,5
AC Gilchrist (Aus),1996-2008,287,472,417,55,6
MS Dhoni (Ind),2004-2019,350,444,321,123,6
MV Boucher (SA),1998-2011,295,424,402,22,6
Moin Khan (Pak),1990-2004,219,287,214,73,5
M Rahim (Ban),2006-2023,255,275,220,55,5
JC Buttler (Eng),2012-2023,169,246,211,35,6
BB McCullum (NZ),2002-2016,260,242,227,15,5
IA Healy (Aus),1988-1997,168,233,194,39,4
Rasid Latif (Pak),1992-2003,166,220,182,38,5
RS Kaluwitharana (SL),1990-2004,189,206,131,75,5
Q de Kock (SA),2013-2023,144,205,189,16,6
PJL Dujon (WI),1981-1991,169,204,183,21,4
