Player,Span,Mat,W,L,Ties,NR,%
RT Ponting (Aus),2002-2012,230,165,51,2,12,76.14
SP Fleming (NZ),1997-2007,218,98,106,1,13,48.04
MS Dhoni (Ind),2007-2018,200,110,74,5,11,59.57
A Ranatunga (SL),1988-1999,193,89,95,1,8,48.37
AR Border (Aus),1985-1994,178,107,67,1,3,61.42
M Azharuddin (Ind),1990-1999,174,90,76,2,6,54.16
GC Smith (SA),2003-2011,150,92,51,1,6,64.23
SC Ganguly (Ind),1999-2005,147,76,66,0,5,53.52
Imran Khan (Pak),1982-1992,139,75,59,1,4,55.92
WJ Cronje (SA),1994-2000,138,99,35,1,3,73.70
DPMD Jayawardene (SL),2004-2013,129,71,49,1,8,59.09
EJG Morgan (Eng),2011-2022,126,76,40,2,0,66.25
BC Lara (WI),1994-2007,125,59,59,0,7,50.00
ST Jayasuriya (SL),1998-2003,118,66,47,2,3,58.26
WTS Porterfield (Ire),2008-2019,113,50,55,2,0,47.66
Wasim Akram (Pak),1993-2000,109,66,41,2,0,61.46
AD Mathews (SL),2012-2018,106,49,51,1,0,49.00
SR Waugh (Aus),1997-2002,106,67,35,3,1,65.23
IVA Richards (WI),1980-1991,105,67,36,0,2,65.04
AB de Villiers (SA),2012-2017,103,59,39,1,4,60.10
SM Pollock (SA),2000-2005,97,60,33,3,0,64.06
Virat Kohli (Ind),2013-2021,95,65,27,1,0,70.43
