Player,Span,Mat,Awards
SR Tendulkar (Ind),1989-2012,463,62
ST Jayasuriya (SL),1989-2011,445,48
V Kohli (Ind),2008-2025,301,42
JH Kallis (SA),1996-2014,328,32
RT Ponting (Aus),1995-2012,375,32
Shahid Afridi (Pak),1996-2015,398,32
IVA Richards (WI),1975-1991,187,31
SC Ganguly (Ind),1992-2007,311,31
KC Sangakkara (SL),2000-2015,404,31
BC Lara (WI),1990-2007,299,30
PA de Silva (SL),1984-2003,308,30
Saeed Anwar (Pak),1989-2003,247,28
AC Gilchrist (Aus),1996-2008,287,28
AB de Villiers (SA),2005-2017,225,27
Yuvraj Singh (Ind),2000-2017,304,27
Shakib Al Hasan (Ban),2006-2023,240,26
NJ Astle (NZ),1995-2007,223,25
DL Haynes (WI),1978-1994,238,25
TM Dilshan (SL),1999-2016,330,25
