Player,Span,Mat,Series,Awards
SR Tendulkar (Ind),1989-2012,463,108,15
ST Jayasuriya (SL),1989-2011,445,111,11
V Kohli (Ind),2008-2023,293,72,11
SM Pollock (SA),1996-2008,303,60,9
CH Gayle (WI),1999-2019,296,70,8
HM Amla (SA),2008-2019,181,49,7
IVA Richards (WI),1975-1991,187,40,7
Yuvraj Singh (Ind),2000-2017,304,71,7
Shakib Al Hasan (Ban),2006-2023,240,72,7
SC Ganguly (Ind),1992-2007,311,75,7
RT Ponting (Aus),1995-2012,375,77,7
MS Dhoni (Ind),2004-2019,347,80,7
Q de Kock (SA),2013-2023,144,43,6
AB de Villiers (SA),2005-2018,228,61,6
Tamim Iqbal (Ban),2007-2023,241,74,6
JH Kallis (SA),1996-2014,328,76,6
M Rahim (Ban),2003-2023,255,77,6
TM Dilshan (SL),1999-2016,330,80,6
Inzamam-ul-Haq (Pak),1991-2007,378,92,6
