Player,Span,Runs,Mat,HS,100,50
SR Tendulkar (Ind),1989-2012,18426,463,200*,49,96
KC Sangakkara (SL),2000-2015,14234,404,169,25,93
Virat Kohli (Ind),2008-2025,14181,302,183,51,74
RT Ponting (Aus),1996-2012,13704,375,164,30,82
ST Jayasuriya (SL),1989-2011,13430,445,189,28,68
DPMD Jayawardene (SL),1998-2015,12650,448,144,19,77
Inzamam-ul-Haq (Pak),1991-2007,11739,378,137*,10,83
JH Kallis (SA),1996-2014,11579,328,139,17,86
SC Ganguly (Ind),1992-2007,11363,311,183,22,72
RG Sharma (Ind),2007-2025,11168,273,264,32,58
Rahul Dravid (Ind),1996-2011,10768,344,153,12,83
MS Dhoni (Ind),2004-2019,10773,350,183*,10,73
CH Gayle (WI),1999-2019,10480,301,215,25,54
BC Lara (WI),1990-2007,10405,299,169,19,63
TM Dilshan (SL),1999-2016,10290,330,161*,22,47
Mhd Yousuf (Pak),1998-2010,9720,288,141*,15,64
AC Gilchrist (Aus),1996-2008,9619,287,172,16,55
AB de Villiers (SA),2005-2017,9577,228,176,25,53
M Azharuddin (Ind),1985-2000,9378,334,153*,7,58
PA de Silva (SL),1984-2003,9284,308,145,11,64
