Player,Span,Wkt,Mat,Balls,Runs,BBI,5 wkts
M Muralitharan (SL),1993-2011,534,350,18811,12326,7/30,10
Wasim Akram (Pak),1984-2003,502,356,18186,11812,5/15,6
Waqar Younis (Pak),1989-2003,416,262,12698,9919,7/36,13
Chaminda Vaas (SL),1994-2008,400,322,15775,11014,8/19,4
Shahid Afridi (Pak),1996-2015,395,398,17670,13632,7/12,9
SM Pollock (SA),1996-2008,393,303,15712,9631,6/35,5
GD McGrath (Aus),1993-2007,381,250,12970,8391,7/15,7
B Lee (Aus),2000-2012,380,221,11185,8877,5/22,9
SL Malinga (SL),2004-2019,338,226,10936,9760,6/38,8
A Kumble (Ind),1990-2007,337,271,14496,10412,6/12,2
ST Jayasuriya (SL),1989-2011,323,445,14874,11871,6/29,4
Shakib Al-Hasan (Ban),2006-2023,317,247,12575,9360,5/29,4
J Srinath (Ind),1991-2003,315,229,11935,8847,5/23,3
DL Vettori (NZ),1997-2015,305,295,14060,9674,5/7,2
SK Warne (Aus),1993-2005,293,194,10642,7541,5/33,1
Saqlain Mushtaq (Pak),1995-2003,288,169,8770,6275,5/20,6
AB Agarkar (Ind),1998-2007,288,191,9484,8021,6/42,2
Z Khan (Ind),2000-2012,282,200,10097,8301,5/42,1
JH Kallis (SA),1996-2014,273,328,10750,8680,5/30,2
AA Donald (SA),1991-2003,272,164,8561,5926,6/23,2
M Mortaza (Ban),2001-2020,270,220,10922,8893,6/26,1
JM Anderson (Eng),2002-2015,269,194,9584,7861,5/23,2
Abdul Razzaq (Pak),1996-2011,269,265,10941,8564,6/35,3
Harbhajan Singh (Ind),1998-2015,269,236,12479,8973,5/31,3
M Ntini (SA),1998-2009,266,173,8687,6559,6/22,4
N Kapil Dev (Ind),1978-1994,253,225,11202,6945,5/43,1
