Team,Span,Mat,W,L,Tied,NR,%
Ind,1974-2023,1037,544,440,9,44,55.23
Aus,1971-2023,982,596,343,9,34,63.34
Pak,1973-2023,961,508,423,8,21,54.52
SL,1975-2023,899,413,442,5,39,48.31
WI,1973-2023,867,418,408,10,30,50.59
NZ,1973-2023,808,370,389,7,42,48.75
Eng,1971-2023,783,395,349,9,30,53.05
SA,1991-2023,658,401,230,6,21,63.42
Zim,1983-2023,566,151,394,7,13,28.02
Ban,1986-2023,420,154,257,0,9,37.46
Ire,2006-2023,194,78,100,3,13,43.92
Ken,1996-2014,154,42,107,0,5,28.18
Scot,1999-2023,153,68,77,1,7,46.91
Afgh,2009-2023,152,73,74,1,4,48.68
Neth,1996-2023,114,39,69,1,4,36.36
Can,1979-2023,82,20,60,0,2,25.00
