Player,Span,Mat,Dis,Cat,Stmps,Max
Q de Kock (SA),2012-23,80,92,76,16,4
MS Dhoni (Ind),2006-19,98,91,57,34,5
IA Kaim (Kenya),2013-23,58,83,59,24,5
JC Buttler (Eng),2011-23,114,71,60,11,3
D Ramdin (WI),2006-19,71,63,43,20,4
Mushfiqur Rahim (Ban),2006-22,102,62,32,30,3
Mhd Shahzad (Afgh),2010-23,73,61,33,28,5
Kamran Akmal (Pak),2006-17,58,60,28,32,4
MS Wade (Aus),2011-23,80,56,50,6,3
MH Cross (Scot),2013-23,65,55,40,15,4
Mhd Rizwan (Pak),2015-24,88,52,41,11,3
D Nidikubwimana (RWN),2021-23,58,49,41,8,4
SA Edward (Neth),2018-22,51,47,41,6,3
Sarfraz Ahmed (Pak),2010-21,60,46,36,10,3
KC Sangakkara (SL),2006-14,56,45,25,20,3
LJ Truker (Ire),2016-23,62,43,38,5,3
N Pooran (WI),2016-23,85,43,36,7,3
ZE Green (Nam),2019-23,46,39,33,6,4
TL Seifert (NZ),2018-23,54,37,30,7,3
CN Kakuru (UGA),2022-23,37,36,19,17,4
GC Wilson (Ire),2008-20,81,36,29,7,4
Rishabh Pant (Ind),2017-22,66,34,25,9,2
Awais Ahmed (ESP),2019-23,28,32,21,11,4
BB McCullum (NZ),2005-15,71,32,24,8,3
,,,,,,
