Player,Span,Mat,Inns,Catches,Max
DA Miller (SA),2010-23,116,115,77,4
MJ Guptill (NZ),2009-22,122,121,68,3
Tim Southee (NZ),2008-24,120,118,62,2
GH Dockwell (Ire),2010-23,125,122,61,3
RG Sharma (Ind),2007-24,150,150,60,3
Mhd Nabi (Afgh),2010-24,114,114,59,3
DA Warner (Aus),2009-22,99,99,56,3
Virat Kohli (Ind),2010-24,116,115,51,3
AJ Finch (Aus),2011-22,103,102,50,3
Shoaib Malik (Pak),2006-22,124,124,50,3
LRPL Taylor (NZ),2006-20,102,102,46,3
EJG Morgan (Eng),2009-22,115,114,46,3
Mahmudullah (Ban),2007-22,121,118,46,3
Hardik Pandya (Ind),2016-23,92,91,45,2
AB de Villiers (SA),2006-17,78,52,44,3
DJ Bravo (WI),2006-21,91,88,44,3
KS Willimson (NZ),2011-24,89,88,44,3
CJ Jordan (Eng),2014-23,88,87,43,3
N Zadran (Afgh),2012-24,99,99,43,2
Babar Azam (Pak),2016-24,107,107,43,2
SK Raina (Ind),2006-18,78,78,42,3
Fakhar Zaman ((Pak),2017-24,79,79,42,3
KA Pollard (WI),2008-22,101,97,42,2
RR Patel (Kenya),2008-23,64,64,41,3
GJ Maxwell (Aus),2012-23,100,99,41,2
,,,,,
