Player,Span,Runs,Mat,HS,100,50
RG Sharma (Ind),2007-24,4231,159,121*,5,32
Virat Kohli (Ind),2010-24,4188,125,122*,1,38
Babar Azam (Pak),2016-24,4145,123,122,3,36
PR Stirling (Ire),2009-24,3655,147,115*,1,24
MJ Guptill (NZ),2009-22,3531,122,105,2,20
Mhd Rizwan (Pak),2015-24,3313,102,104*,1,29
DA Warner (Aus),2009-24,3277,110,100*,1,28
JC Buttler (Eng),2011-24,3264,124,101*,1,24
AJ Finch (Aus),2011-22,3120,103,172,2,19
GJ Maxwell (Aus),2012-24,2600,113,145*,5,11
Q de Kock (SA),2012-24,2584,92,100,1,16
KS Willimson (NZ),2011-24,2575,93,95,0,18
Shakib Al-Hasan (Ban),2006-24,2551,128,84,0,13
Suryakumar Yadav (Ind),2021-24,2536,74,117,4,21
Mhd Hafeez (Pak),2006-21,2514,119,99*,0,14
EJG Morgan (Eng),2009-21,2458,115,91,0,14
Mahmudullah (Ban),2007-24,2444,141,64*,0,8
Virendeep Singh (MAL),2019-24,2441,84,116*,1,16
DA Miller (SA),2010-24,2437,125,106*,2,7
Shoaib Malik (Pak),2006-21,2435,122,75,0,9
A Balbirnie (Ire),2015-24,2392,109,83,0,12
KL Rahul (Ind),2016-24,2265,72,110*,2,22
RD Berrington (Scot),2008-24,2230,97,100,1,10
Sikandar Raza (Zim),2013-24,2209,95,133*,1,14
BB McCullum (NZ),2005-15,2140,71,123,2,13
Mohammad Nabi (Afgh),2010-24,2123,123,89,0,6
S Ssesazi (UGA),2021-24,2081,81,100*,1,16
AD Hales (Eng),2011-22,2074,75,116*,1,12
Mhd Shahzad (Afgh),2010-23,2048,73,118*,1,12
,,,,,,
